sample 0,sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18,sample 19,sample 20,sample 21,sample 22,sample 23,sample 24,sample 25,sample 26,sample 27,sample 28,sample 29,sample 30,sample 31,sample 32,sample 33,sample 34,sample 35,sample 36,sample 37,sample 38,sample 39
0.042053,0.073814,-0.024239,-0.138245,-0.055862,0.020676,-0.001083,-0.052971,-0.022316,-0.001564,0.033287,0.055046,-0.021667,-0.013237,0.003769,0.105492,0.072044,0.137169,0.00547,-0.0821,-0.036415,0.084351,0.014977,-0.023712,-0.065567,-0.020149,-0.029037,-0.02755,0.007256,0.021721,0.012566,-0.009338,0.100548,0.07518,0.091537,-0.079582,-0.005501,0.036964,-0.036415,0.028664
0.056602,0.059418,-0.022491,-0.122246,-0.053413,0.021492,0.00592,-0.045334,-0.038132,0.008781,0.018951,0.028046,-0.008133,0.00473,-0.000343,0.114922,0.075745,0.145332,0.032234,-0.077888,-0.041809,0.072006,0.027473,-0.045837,-0.070892,-0.007401,-0.025673,-0.023827,-0.013496,0.044289,-0.026169,-0.045715,0.053696,0.047859,0.086823,-0.071953,-0.020309,0.04319,-0.046692,0.023544
0.070717,0.088608,-0.01712,-0.104057,-0.011574,0.022041,0.00592,-0.03257,-0.05175,0.0205,0.006592,0.00148,0.002396,0.025131,0.014915,0.106842,0.070877,0.1483,0.046623,-0.079346,-0.043198,0.054031,0.035828,-0.059891,-0.065323,-3.81E-05,-0.02198,-0.018623,-0.030777,0.061295,-0.06002,-0.076675,0.035919,0.011848,0.054153,-0.054962,-0.044327,0.047173,-0.054955,0.016037
0.081795,0.104088,-0.013023,-0.078194,-0.01194,0.025017,0.005119,-0.017952,-0.066513,0.033943,-0.000511,-0.025536,0.01004,0.042175,0.008705,0.087112,0.068031,0.142075,0.054268,-0.043694,-0.04631,0.029312,0.043205,-0.066841,-0.058182,0.011414,-0.017792,-0.011475,-0.041695,0.060974,-0.094406,-0.098579,0.001694,-0.02404,0.029701,-0.034538,-0.052299,0.043961,-0.059517,-0.000824
0.084412,0.07093,-0.007607,-0.047272,-0.00264,0.02729,0.001068,-0.003357,-0.074448,0.04361,-0.003334,-0.052422,0.01857,0.05117,-0.008331,0.064217,0.057899,0.123856,0.06105,-0.01355,-0.043343,-0.000694,0.045601,-0.070587,-0.058182,0.028778,-0.010422,-0.010246,-0.046005,0.071747,-0.129074,-0.114235,-0.034874,-0.059685,0.007645,-0.018547,-0.026657,0.038696,-0.060112,-0.021111
0.075821,0.048172,0.002106,-0.012032,0.017448,0.024757,-0.00827,0.010147,-0.070595,0.049385,-0.004379,-0.077904,0.023788,0.050743,-0.013054,0.037354,0.048431,0.093651,0.066444,-0.031326,-0.031029,-0.025497,0.049255,-0.067192,-0.052834,0.036797,-0.002304,-0.007957,-0.049393,0.036049,-0.154404,-0.119919,-0.058174,-0.09481,-0.03154,-0.002617,0.005676,0.03157,-0.056946,-0.032471
0.058517,0.026878,0.009346,0.029457,0.026779,0.024612,-0.019737,0.020187,-0.065788,0.05426,-0.005386,-0.095497,0.026009,0.047836,-0.014114,0.006622,0.048851,0.066422,0.067352,-0.064514,-0.021217,-0.032791,0.059044,-0.060326,-0.042404,0.034225,0.007996,0.002167,-0.050552,-0.001595,-0.167175,-0.12001,-0.089134,-0.121117,-0.085213,0.013321,0.028023,0.023445,-0.050079,-0.037384
0.031311,-0.012863,0.017227,0.068527,0.023758,0.022591,-0.032326,0.029266,-0.064476,0.05307,-0.002411,-0.103149,0.025177,0.048035,-0.008095,-0.020363,0.052116,0.025589,0.05603,-0.068916,-0.014496,-0.021896,0.068161,-0.052483,-0.032875,0.034401,0.024925,0.007202,-0.044121,-0.025208,-0.168167,-0.112747,-0.114517,-0.137718,-0.113297,0.027145,0.038139,0.01265,-0.044846,-0.035355
0.002228,-0.062408,0.028244,0.101524,0.030251,0.018143,-0.040695,0.033241,-0.060532,0.04335,0.003532,-0.107025,0.023308,0.052567,0.004463,-0.043205,0.038582,-0.007652,0.034988,-0.045792,-0.009766,-0.016861,0.071091,-0.04496,-0.022873,0.041496,0.038849,0.010101,-0.035622,-0.064651,-0.157738,-0.085732,-0.145561,-0.146271,-0.114204,0.040642,0.03981,0.005257,-0.036751,-0.030777
-0.01825,-0.085754,0.036423,0.12706,0.065063,0.015877,-0.045128,0.03318,-0.051247,0.030251,0.006439,-0.10112,0.01606,0.05368,0.010094,-0.068993,0.006485,-0.058212,0.015877,-0.038155,-0.0047,-0.021538,0.069695,-0.033142,-0.014145,0.049232,0.046677,0.014992,-0.030289,-0.06852,-0.14193,-0.04718,-0.139801,-0.14727,-0.129555,0.050766,0.044853,-0.003304,-0.024925,-0.029488
