sample 0,sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18,sample 19,sample 20,sample 21,sample 22,sample 23,sample 24,sample 25,sample 26,sample 27,sample 28,sample 29,sample 30,sample 31,sample 32,sample 33,sample 34,sample 35,sample 36,sample 37,sample 38,sample 39
-0.034721,-0.009033,0.037567,-0.075058,-0.047058,0.122902,0.016785,0.013657,-0.04509,0.043541,-0.124237,0.034096,-0.068886,0.040146,0.048454,-0.03878,0.020805,0.088295,-0.037346,0.016327,0.015617,-0.08625,0.010178,-0.010078,0.009354,0.064949,0.018799,0.044815,-0.005203,-0.033981,0.014,-0.043999,-0.003014,0.041161,-0.060028,0.034584,0.042824,-0.053993,0.038429,0.007393
-0.045113,-0.035141,0.035851,-0.025887,-0.074135,0.118973,0.003342,0.018692,-0.046249,0.044106,-0.139801,0.043854,-0.069923,0.027939,0.0429,-0.027489,0.030113,0.093826,-0.046326,0.001938,0.014397,-0.089272,0.004906,-0.002197,0.030937,0.083992,0.01239,0.037529,0.008781,-0.040276,0.040955,-0.026123,0.010078,0.019989,-0.068275,0.036842,0.042404,-0.048538,0.016335,0.022491
-0.038391,-0.046104,0.021095,0.028008,-0.092789,0.093773,-0.012543,0.020538,-0.036476,0.046768,-0.137672,0.055748,-0.069901,0.015076,0.032036,-0.015381,0.028221,0.097588,-0.051987,-0.018166,0.007721,-0.08075,0.002968,0.007385,0.047188,0.090225,0.004761,0.034958,0.014786,-0.045937,0.066071,-0.010902,0.01442,-0.000259,-0.072296,0.029419,0.040756,-0.028648,-0.010574,0.027641
-0.021614,-0.053055,0.008675,0.090355,-0.116013,0.059517,-0.020073,0.025551,-0.026024,0.046402,-0.119476,0.070229,-0.064369,0.002434,0.035599,-0.0158,0.026527,0.093742,-0.052116,-0.030098,0.001999,-0.073517,0.004623,0.020554,0.063316,0.098763,-0.008942,0.029709,0.017838,-0.055435,0.083115,-0.00325,0.028351,-0.020035,-0.07357,0.023216,0.034958,-0.013481,-0.034935,0.0336
-0.010483,-0.051727,-0.004753,0.148483,-0.120567,0.030312,-0.037079,0.030594,-0.027039,0.03801,-0.102112,0.076172,-0.049126,-0.01181,0.027725,-0.001923,0.025581,0.073456,-0.046509,-0.042404,-0.006851,-0.063805,-0.003029,0.025848,0.074173,0.110367,-0.016785,0.010704,0.021431,-0.056564,0.092918,0.012024,0.036736,-0.042328,-0.059341,0.01722,0.023514,-0.007561,-0.058075,0.042336
-0.001915,-0.047676,-0.022507,0.199776,-0.119453,0.001213,-0.04731,0.019653,-0.02179,0.041618,-0.082741,0.067543,-0.038155,-0.021812,0.014587,0.016129,0.016685,0.048149,-0.0373,-0.049492,-0.021965,-0.05603,-0.007416,0.01886,0.080933,0.101509,-0.019394,0.003609,0.019508,-0.047745,0.097397,0.025612,0.029099,-0.048119,-0.053185,-0.001099,0.01548,0.001335,-0.091805,0.043243
0.006897,-0.055328,-0.028801,0.238335,-0.112854,-0.029106,-0.050446,0.016418,-0.015823,0.035774,-0.058868,0.061363,-0.021973,-0.027176,0.000763,0.021584,0.014519,0.02906,-0.028069,-0.055336,-0.027466,-0.037895,-0.002541,0.006447,0.078636,0.090294,-0.024834,-0.00209,0.013512,-0.0373,0.098755,0.036591,0.014931,-0.05249,-0.052071,-0.024139,0.014969,0.023315,-0.11261,0.043533
0.017487,-0.046715,-0.036194,0.256836,-0.091499,-0.061577,-0.047195,0.003426,-0.008827,0.02166,-0.022499,0.062431,-0.002625,-0.018997,-0.02018,0.026291,0.002144,0.009804,-0.014282,-0.065933,-0.02755,-0.016312,-0.012077,-0.004333,0.065292,0.082306,-0.030678,-0.012283,0.008148,-0.019615,0.090454,0.046753,0.000267,-0.050987,-0.045441,-0.047432,0.009628,0.048248,-0.112953,0.043503
0.030159,-0.032509,-0.039024,0.263489,-0.073425,-0.078377,-0.0411,-0.007622,-0.000145,0.005173,0.018311,0.050781,0.013153,-0.018509,-0.029762,0.026886,-0.006409,-0.027611,-0.002335,-0.070854,-0.031578,0.002449,-0.025757,-0.020561,0.044983,0.067207,-0.034134,-0.010071,-0.005516,-0.003242,0.079132,0.054955,-0.004456,-0.03492,-0.042023,-0.069214,0.000816,0.053886,-0.115974,0.040421
0.042618,-0.018326,-0.032547,0.251595,-0.052094,-0.080414,-0.044838,-0.015259,0.004974,-0.014915,0.049316,0.0336,0.030594,-0.015205,-0.032295,0.034302,-0.006226,-0.065071,0.016167,-0.074013,-0.037903,0.018562,-0.037239,-0.0364,0.025162,0.059288,-0.023613,-0.004738,-0.014938,0.011467,0.063095,0.053284,-0.014023,-0.027229,-0.031357,-0.09079,-0.003731,0.072098,-0.106644,0.031242
