sample 0,sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18,sample 19,sample 20,sample 21,sample 22,sample 23,sample 24,sample 25,sample 26,sample 27,sample 28,sample 29,sample 30,sample 31,sample 32,sample 33,sample 34,sample 35,sample 36,sample 37,sample 38,sample 39
0.011711,-0.014877,0.02359,-0.034431,-0.001572,0.017868,0.009323,-0.002403,-0.033417,0.038116,-0.045494,-0.005898,0.090675,-0.024574,-0.008423,-0.028931,0.005074,-0.023911,0.019554,0.00782,-0.030029,0.027657,-0.006111,0.021194,-0.012558,-0.075035,0.055077,-0.012535,0.020889,0.013008,0.01403,0.00164,-0.007629,0.001999,-0.010071,-0.005363,0.016357,-3.81E-05,-0.020203,-0.001343
0.001366,-0.030128,0.028633,-0.035339,-0.009949,0.009384,0.021111,-0.005257,-0.036789,0.05555,-0.043388,-0.017044,0.094322,-0.020782,0.006294,-0.02787,0.011673,-0.01609,0.016548,0.013695,-0.033295,0.029434,-0.006409,0.024811,-0.021736,-0.071419,0.052162,-0.013916,0.018524,0.015541,0.011742,0.009682,-0.007179,0.005302,-0.012451,0.006157,0.00705,-0.002899,-0.019241,0.007645
-0.006714,-0.04081,0.036079,-0.030983,-0.014229,0.000969,0.031509,-0.006996,-0.038956,0.069336,-0.04126,-0.030029,0.09539,-0.010498,0.015862,-0.025696,0.018311,-0.00901,0.013596,0.017075,-0.033386,0.030418,-0.011147,0.029335,-0.030167,-0.058678,0.045349,-0.013786,0.013893,0.016548,0.014755,0.016663,-0.004654,0.010132,-0.014069,0.018188,-0.001213,-0.007721,-0.014977,0.013657
-0.011147,-0.046867,0.044739,-0.025536,-0.017593,-0.007179,0.042076,-0.01194,-0.043961,0.069756,-0.03878,-0.038071,0.087997,-0.001335,0.017395,-0.021713,0.02179,0.00042,0.002632,0.015694,-0.027351,0.029915,-0.016457,0.028351,-0.034882,-0.040337,0.040169,-0.009521,0.01075,0.020096,0.018837,0.022629,-0.000908,0.017471,-0.013412,0.027039,-0.007698,-0.01339,-0.012543,0.019646
-0.013725,-0.050911,0.04734,-0.019829,-0.029411,-0.013611,0.048744,-0.020782,-0.048782,0.062759,-0.035286,-0.034325,0.071503,0.004562,0.017509,-0.016869,0.023735,0.010368,-0.007515,0.008408,-0.021965,0.031265,-0.018105,0.020531,-0.037186,-0.022835,0.035126,-0.006226,0.007767,0.026161,0.017815,0.025215,-0.000137,0.022781,-0.010231,0.032394,-0.009277,-0.01535,-0.013527,0.025436
-0.016228,-0.05632,0.041199,-0.013611,-0.035797,-0.019119,0.052254,-0.028381,-0.047058,0.049332,-0.030487,-0.020004,0.048882,0.011215,0.016602,-0.010773,0.026161,0.020576,-0.012062,0.001556,-0.016289,0.029366,-0.019623,0.014252,-0.035141,-0.001183,0.027107,-0.007515,0.00338,0.033676,0.014465,0.021858,0.001945,0.020241,-0.010887,0.03878,-0.004501,-0.017128,-0.011009,0.026863
-0.016762,-0.060219,0.031067,-0.000374,-0.033463,-0.024109,0.053825,-0.033173,-0.041084,0.027084,-0.025436,-0.003357,0.022835,0.016396,0.009819,-0.004471,0.027603,0.030342,-0.017815,-0.001633,-0.007362,0.019371,-0.020943,0.014061,-0.030502,0.025352,0.018394,-0.007889,-0.001877,0.040146,0.011314,0.018867,0.008957,0.015968,-0.014687,0.047882,0.001312,-0.018318,-0.007072,0.023422
-0.014542,-0.059837,0.016029,0.016182,-0.029945,-0.028351,0.048294,-0.038589,-0.035149,0.006439,-0.020866,0.012665,-0.003448,0.017982,-0.000137,-0.001434,0.022583,0.032257,-0.027672,-0.009743,-0.000961,0.008072,-0.019501,0.018524,-0.026184,0.047203,0.008064,-0.005127,-0.003525,0.044823,0.008705,0.017387,0.014496,0.013557,-0.012749,0.054489,0.006256,-0.018517,-0.003151,0.021866
-0.013832,-0.057594,-0.001511,0.026138,-0.023399,-0.02961,0.038757,-0.038536,-0.027557,-0.012108,-0.01664,0.028206,-0.023376,0.018456,-0.009399,0.002045,0.012657,0.028015,-0.031326,-0.02269,0.003006,0.001831,-0.019516,0.020248,-0.018242,0.065994,-0.000618,0.001137,-0.004906,0.045288,0.009491,0.014954,0.018547,0.012054,-0.003578,0.056007,0.011169,-0.021179,0.002541,0.019875
-0.010956,-0.056702,-0.015053,0.028435,-0.01503,-0.025581,0.032219,-0.029778,-0.020302,-0.030762,-0.00901,0.042824,-0.040581,0.01815,-0.021156,0.010223,0.004646,0.025177,-0.032578,-0.03157,0.010002,-0.004883,-0.02327,0.012383,-0.008545,0.087471,-0.002419,0.00956,-0.008987,0.036766,0.012245,0.01413,0.024147,0.011307,0.008308,0.053238,0.013695,-0.025215,0.00769,0.014442
-0.008545,-0.054497,-0.031837,0.027809,-0.003616,-0.02375,0.023857,-0.021698,-0.014198,-0.045349,0.000946,0.058762,-0.055901,0.013275,-0.032188,0.020149,-0.002007,0.023392,-0.036446,-0.036484,0.018127,-0.015144,-0.025902,0.002434,-0.003792,0.104599,-0.001854,0.01487,-0.005547,0.028137,0.011261,0.012062,0.02684,0.003769,0.021309,0.043869,0.016037,-0.026337,0.01268,0.012634
-0.016953,-0.050362,-0.048798,0.027748,0.00927,-0.024788,0.010422,-0.013779,-0.006416,-0.051971,0.006943,0.064636,-0.063713,0.006287,-0.037643,0.028252,-0.006805,0.021355,-0.034096,-0.037529,0.025429,-0.025055,-0.029282,-0.003937,-0.000549,0.109352,-0.004745,0.014008,0.000816,0.022736,0.009674,0.012604,0.026039,-0.007477,0.030807,0.030022,0.019592,-0.025436,0.018425,0.010437
-0.030388,-0.04541,-0.059456,0.023949,0.01944,-0.023193,-0.000786,0.001694,-0.000183,-0.052139,0.011909,0.055588,-0.067001,-0.001244,-0.039734,0.036827,-0.008125,0.021202,-0.028465,-0.031654,0.028961,-0.034767,-0.03463,-0.01313,0.00547,0.101814,-0.011963,0.012062,0.002388,0.015465,0.011681,0.018555,0.024498,-0.01355,0.032799,0.021736,0.019958,-0.024414,0.024246,0.001709
-0.040344,-0.037598,-0.066772,0.017067,0.027794,-0.020439,-0.007652,0.022255,0.001938,-0.047676,0.019997,0.042519,-0.067665,-0.008484,-0.038666,0.041229,-0.009087,0.018547,-0.021111,-0.02108,0.022362,-0.044365,-0.037209,-0.023293,0.009476,0.086212,-0.020409,0.010712,0.006668,0.006523,0.016479,0.021164,0.021271,-0.018135,0.035683,0.015526,0.014977,-0.021843,0.030212,-0.004433
-0.047157,-0.026596,-0.064873,0.008972,0.033127,-0.017044,-0.009941,0.037407,0.005379,-0.035332,0.025459,0.02681,-0.065552,-0.014061,-0.0326,0.037605,-0.010017,0.012703,-0.01136,-0.010101,0.010841,-0.052002,-0.035721,-0.028725,0.011078,0.066139,-0.026237,0.004745,0.014122,-0.005493,0.022728,0.017593,0.013245,-0.025146,0.038559,0.004425,0.009499,-0.018295,0.037086,-0.004128
-0.050049,-0.01255,-0.053894,-0.001297,0.031258,-0.010513,-0.00901,0.044678,0.010437,-0.01989,0.025627,0.009789,-0.060875,-0.016472,-0.022858,0.034279,-0.008347,0.007332,-0.003143,0.001823,0.004463,-0.057053,-0.028328,-0.031601,0.01561,0.041656,-0.025764,-0.001404,0.019028,-0.018127,0.026642,0.013786,0.001945,-0.032211,0.032814,-0.002762,0.003845,-0.014893,0.041573,-0.00351
-0.045204,0.006866,-0.038971,-0.007706,0.02346,-0.001945,-0.010864,0.048241,0.013123,-0.00412,0.030525,-0.005325,-0.051422,-0.012459,-0.012268,0.033928,-0.002892,-0.001312,0.002869,0.013329,0.00177,-0.059021,-0.018806,-0.036674,0.021431,0.012001,-0.024368,-0.000778,0.019836,-0.024414,0.027451,0.011719,-0.008202,-0.038765,0.025475,-0.007256,-0.00795,-0.009003,0.041023,-0.001778
-0.032372,0.030121,-0.022087,-0.009483,0.016396,0.003593,-0.012962,0.048698,0.013306,0.012482,0.040764,-0.024109,-0.037651,-0.005455,0.000435,0.031151,0.002876,-0.014488,0.007599,0.020859,-0.002579,-0.057961,-0.011841,-0.042419,0.022514,-0.017273,-0.029816,0.000816,0.016731,-0.022537,0.025681,0.005432,-0.019516,-0.046341,0.020988,-0.012573,-0.020554,-0.001923,0.042747,-0.000313
-0.016296,0.04818,-0.004128,-0.011429,0.009979,0.009293,-0.012085,0.045654,0.009438,0.024956,0.046448,-0.045731,-0.023743,0.004562,0.012596,0.024826,0.007828,-0.029709,0.012138,0.028069,-0.006752,-0.054909,-0.002594,-0.044113,0.019531,-0.039246,-0.034767,0.00058,0.012894,-0.019585,0.024979,-0.002106,-0.028435,-0.052719,0.014229,-0.012444,-0.029053,-0.000404,0.048981,-0.002739
0.000793,0.060211,0.01445,-0.013618,-0.000916,0.019989,-0.010239,0.036583,0.00354,0.031151,0.048775,-0.060837,-0.011795,0.015823,0.019676,0.016853,0.011055,-0.041267,0.014641,0.035439,-0.008621,-0.050232,0.012871,-0.045593,0.01577,-0.054771,-0.03614,0.003799,0.011345,-0.020164,0.021286,-0.003502,-0.030586,-0.056107,0.004951,-0.009117,-0.036446,-0.002106,0.049911,-0.004578
0.018684,0.069061,0.028831,-0.012283,-0.011406,0.032013,-0.009186,0.02346,0.002701,0.032471,0.051674,-0.069458,0.001259,0.024498,0.025543,0.005455,0.010284,-0.046356,0.016472,0.038643,-0.008965,-0.04026,0.029648,-0.048073,0.008659,-0.065659,-0.039116,0.009216,0.008812,-0.019333,0.00943,-0.002419,-0.030449,-0.057304,-0.004883,-0.007286,-0.039482,-0.003189,0.041977,-0.002663
0.03569,0.070892,0.040207,-0.008827,-0.013557,0.044518,-0.010117,0.011871,0.008179,0.030151,0.054932,-0.07547,0.01506,0.035103,0.029922,-0.004204,0.008324,-0.047905,0.017319,0.037598,-0.006744,-0.025345,0.039413,-0.047607,-0.001137,-0.071198,-0.037643,0.015167,0.00293,-0.016304,0.000252,-0.000954,-0.025673,-0.056091,-0.014168,-0.008202,-0.037193,-0.005905,0.033554,-0.000572
